Timestamp,TM_EVR0:LER:INJ2_EFF:BCM,B2_VXD:Rad:QCS_FW_225:DoseRate,B2_VXD:Rad:Res:BPAtDCU3:A1:DoseRate
2024/05/29 07:44:59.436,94.28937741017141,N/A,N/A
2024/05/29 07:44:59.935,N/A,N/A,2.9599777481031064
2024/05/29 07:44:59.953,N/A,10.970676878819315,N/A
2024/05/29 07:45:04.235,92.12471718020431,N/A,N/A
2024/05/29 07:45:04.935,N/A,N/A,3.011114092640564
2024/05/29 07:45:04.972,N/A,9.99199268976142,N/A
2024/05/29 07:45:09.835,91.70809152397258,N/A,N/A
2024/05/29 07:45:09.935,N/A,N/A,3.0626718508074453
2024/05/29 07:45:09.984,N/A,11.0805890107081,N/A
2024/05/29 07:45:14.635,88.62056045143048,N/A,N/A
2024/05/29 07:45:14.897,N/A,12.04830696466451,N/A
2024/05/29 07:45:14.935,N/A,N/A,3.111489498763744
2024/05/29 07:45:19.438,92.69929859786832,N/A,N/A
2024/05/29 07:45:19.917,N/A,14.212512370733487,N/A
2024/05/29 07:45:19.935,N/A,N/A,3.195935700332024
2024/05/29 07:45:24.241,94.04112722292773,N/A,N/A
2024/05/29 07:45:24.931,N/A,11.258998539720588,N/A
2024/05/29 07:45:24.935,N/A,N/A,3.322374864444267
2024/05/29 07:45:29.843,92.78075732764987,N/A,N/A
2024/05/29 07:45:29.935,N/A,N/A,3.378258306054001
2024/05/29 07:45:29.939,N/A,11.096540977698076,N/A
2024/05/29 07:45:34.644,90.15137181061907,N/A,N/A
2024/05/29 07:45:34.935,N/A,N/A,3.27237919759046
2024/05/29 07:45:34.954,N/A,11.278416573457486,N/A
2024/05/29 07:45:39.444,92.04084099771805,N/A,N/A
2024/05/29 07:45:39.935,N/A,N/A,3.3462553144338316
2024/05/29 07:45:39.969,N/A,11.690320084513488,N/A
2024/05/29 07:45:44.244,93.16797385172228,N/A,N/A
2024/05/29 07:45:44.935,N/A,N/A,3.4560910440308366
2024/05/29 07:45:44.980,N/A,12.315474165802614,N/A
2024/05/29 07:45:45.045,91.91613099646577,N/A,N/A
2024/05/29 07:45:49.935,N/A,N/A,2.832724322420488
2024/05/29 07:45:49.988,N/A,8.55428093627774,N/A
2024/05/29 07:45:54.935,N/A,N/A,2.8245252970184684
2024/05/29 07:45:54.996,N/A,11.475185636381676,N/A
2024/05/29 07:45:59.131,94.56443294967443,N/A,N/A
2024/05/29 07:45:59.904,N/A,8.13402684105527,N/A
2024/05/29 07:45:59.935,N/A,N/A,3.1560904690111315
2024/05/29 07:46:03.132,93.5836001463152,N/A,N/A
2024/05/29 07:46:04.913,N/A,7.893327998616303,N/A
2024/05/29 07:46:04.935,N/A,N/A,3.050066310252498
2024/05/29 07:46:09.132,93.64063186399248,N/A,N/A
2024/05/29 07:46:09.923,N/A,8.077839777826007,N/A
2024/05/29 07:46:09.935,N/A,N/A,3.0550207861074643
2024/05/29 07:46:13.131,96.0752996893483,N/A,N/A
2024/05/29 07:46:14.930,N/A,11.765184967036522,N/A
2024/05/29 07:46:14.935,N/A,N/A,3.1644567999028372
2024/05/29 07:46:19.131,93.36766407068858,N/A,N/A
2024/05/29 07:46:19.935,N/A,N/A,3.1448895493313174
2024/05/29 07:46:19.937,N/A,12.07409709105857,N/A
2024/05/29 07:46:23.132,94.31094021724454,N/A,N/A
2024/05/29 07:46:24.935,N/A,N/A,3.118271545566513
2024/05/29 07:46:24.946,N/A,12.47959331142042,N/A
2024/05/29 07:46:27.134,95.80395901230729,N/A,N/A
2024/05/29 07:46:29.935,N/A,N/A,2.8620675406450786
2024/05/29 07:46:29.950,N/A,8.411363500324464,N/A
2024/05/29 07:46:34.935,N/A,N/A,2.80680633083562
2024/05/29 07:46:34.962,N/A,8.183882091775843,N/A
2024/05/29 07:46:38.140,96.60520044167652,N/A,N/A
2024/05/29 07:46:39.935,N/A,N/A,3.0569992902448164
2024/05/29 07:46:39.966,N/A,13.09022112870263,N/A
2024/05/29 07:46:44.144,94.89364670637174,N/A,N/A
2024/05/29 07:46:44.935,N/A,N/A,3.1315585181321843
2024/05/29 07:46:44.977,N/A,12.237339872662817,N/A
2024/05/29 07:46:48.146,95.41948356637334,N/A,N/A
2024/05/29 07:46:49.935,N/A,N/A,3.0886599062030347
2024/05/29 07:46:49.988,N/A,11.975488497346197,N/A
2024/05/29 07:46:54.148,96.85779357932049,N/A,N/A
2024/05/29 07:46:54.910,N/A,8.261771187753084,N/A
2024/05/29 07:46:54.935,N/A,N/A,3.139922479751047
2024/05/29 07:46:58.150,95.81600795635192,N/A,N/A
2024/05/29 07:46:59.919,N/A,8.173319246820625,N/A
2024/05/29 07:46:59.935,N/A,N/A,3.166410383285439
2024/05/29 07:47:04.150,95.52146749048751,N/A,N/A
2024/05/29 07:47:04.932,N/A,8.295696919111238,N/A
2024/05/29 07:47:04.935,N/A,N/A,3.124534011445795
2024/05/29 07:47:06.151,87.80220466907124,N/A,N/A
2024/05/29 07:47:09.935,N/A,N/A,2.853612228784759
2024/05/29 07:47:09.942,N/A,8.216691210639413,N/A
2024/05/29 07:47:14.935,N/A,N/A,2.8855660345726344
2024/05/29 07:47:14.951,N/A,13.539831677903303,N/A
2024/05/29 07:47:19.160,86.92241284371566,N/A,N/A
2024/05/29 07:47:19.935,N/A,N/A,3.076172544438688
2024/05/29 07:47:19.957,N/A,14.053924756155471,N/A
2024/05/29 07:47:23.163,83.93659603273332,N/A,N/A
2024/05/29 07:47:24.935,N/A,N/A,3.0972384771975654
2024/05/29 07:47:24.971,N/A,13.200180479097503,N/A
2024/05/29 07:47:29.170,86.1645205680413,N/A,N/A
2024/05/29 07:47:29.935,N/A,N/A,3.0615328673476436
2024/05/29 07:47:29.981,N/A,14.28127841337195,N/A
2024/05/29 07:47:33.172,79.01388568629083,N/A,N/A
2024/05/29 07:47:34.935,N/A,N/A,3.15121164010973
2024/05/29 07:47:34.984,N/A,13.606245954811692,N/A
2024/05/29 07:47:39.176,76.4493559327322,N/A,N/A
2024/05/29 07:47:39.935,N/A,N/A,3.155544156210768
2024/05/29 07:47:39.992,N/A,13.716403115113387,N/A
2024/05/29 07:47:43.179,77.17644598727111,N/A,N/A
2024/05/29 07:47:44.899,N/A,7.851641239419079,N/A
