Timestamp,TM_EVR0:LER:INJ2_EFF:BCM,B2_VXD:Rad:QCS_FW_225:DoseRate,B2_VXD:Rad:Res:BPAtDCU3:A1:DoseRate
2024/05/29 06:49:28.652,82.91915559051803,N/A,N/A
2024/05/29 06:59:59.902,N/A,5.839186155660689,N/A
2024/05/29 06:59:59.935,N/A,N/A,1.1935379571733877
2024/05/29 07:00:04.916,N/A,5.2051685148224704,N/A
2024/05/29 07:00:04.935,N/A,N/A,1.1420465559471462
2024/05/29 07:00:09.930,N/A,5.5083966719310835,N/A
2024/05/29 07:00:09.935,N/A,N/A,1.1779041199717322
2024/05/29 07:00:14.935,N/A,N/A,1.258921742619574
2024/05/29 07:00:14.943,N/A,10.939010862220606,N/A
2024/05/29 07:00:19.935,N/A,N/A,1.3310931281345624
2024/05/29 07:00:19.959,N/A,7.281311053856076,N/A
2024/05/29 07:00:24.935,N/A,N/A,1.2855184249711937
2024/05/29 07:00:24.971,N/A,6.413899848787969,N/A
2024/05/29 07:00:29.935,N/A,N/A,1.2079972782258461
2024/05/29 07:00:29.988,N/A,8.944317020308937,N/A
2024/05/29 07:00:34.905,N/A,6.251066033917188,N/A
2024/05/29 07:00:34.935,N/A,N/A,1.235257962468568
2024/05/29 07:00:39.920,N/A,6.684480015475714,N/A
2024/05/29 07:00:39.935,N/A,N/A,1.2676343757023387
2024/05/29 07:00:44.935,N/A,N/A,1.3603779863670635
2024/05/29 07:00:44.936,N/A,10.276487779726482,N/A
2024/05/29 07:00:49.935,N/A,N/A,1.3182173781678854
2024/05/29 07:00:49.952,N/A,7.476246290811973,N/A
2024/05/29 07:00:54.935,N/A,N/A,1.5097378839643736
2024/05/29 07:00:54.957,N/A,10.970617600600038,N/A
2024/05/29 07:00:59.935,N/A,N/A,1.506866482863045
2024/05/29 07:00:59.965,N/A,6.683595041305712,N/A
2024/05/29 07:01:04.935,N/A,N/A,1.5090833517074818
2024/05/29 07:01:04.972,N/A,6.364017919925416,N/A
2024/05/29 07:01:09.935,N/A,N/A,1.5051882450829817
2024/05/29 07:01:09.977,N/A,7.898452525127841,N/A
2024/05/29 07:01:14.935,N/A,N/A,1.570930224573808
2024/05/29 07:01:14.984,N/A,7.6898779291449495,N/A
2024/05/29 07:01:19.900,N/A,6.9457732807655646,N/A
2024/05/29 07:01:19.935,N/A,N/A,1.5224745639477675
2024/05/29 07:01:24.905,N/A,10.062995689503357,N/A
2024/05/29 07:01:24.935,N/A,N/A,1.7079236231451973
2024/05/29 07:01:29.915,N/A,6.848530542777463,N/A
2024/05/29 07:01:29.935,N/A,N/A,1.5947823758128208
2024/05/29 07:01:34.929,N/A,11.006315411253054,N/A
2024/05/29 07:01:34.935,N/A,N/A,1.7336132048272619
2024/05/29 07:01:39.935,N/A,N/A,1.6784847279102486
2024/05/29 07:01:39.941,N/A,6.9115545058331085,N/A
2024/05/29 07:01:44.935,N/A,N/A,1.7570185619713579
2024/05/29 07:01:44.956,N/A,7.996769617559204,N/A
2024/05/29 07:01:49.935,N/A,N/A,1.7401511206342923
2024/05/29 07:01:49.964,N/A,7.0989708236015,N/A
2024/05/29 07:01:54.554,92.93571499279507,N/A,N/A
2024/05/29 07:01:54.935,N/A,N/A,1.8342036019516461
2024/05/29 07:01:54.975,N/A,7.954010784001165,N/A
2024/05/29 07:01:59.357,88.98543624847343,N/A,N/A
2024/05/29 07:01:59.935,N/A,N/A,1.820958522332043
2024/05/29 07:01:59.991,N/A,10.359446056255214,N/A
2024/05/29 07:02:04.901,N/A,7.703431881228139,N/A
2024/05/29 07:02:04.935,N/A,N/A,1.9293808791885974
2024/05/29 07:02:04.961,91.35136715973225,N/A,N/A
2024/05/29 07:02:09.763,90.10666611211941,N/A,N/A
2024/05/29 07:02:09.916,N/A,12.492644087373789,N/A
2024/05/29 07:02:09.935,N/A,N/A,2.0582981774951943
2024/05/29 07:02:14.564,92.67551977250184,N/A,N/A
