Timestamp,BMLDCCT:CURRENT,BMLDCCT:RATE,CG_BTP:BPM:CHARGE1,CGLINJ:EFFICIENCY,timestamp,unix_time,BPM_to_current,life_decay,efficiency_true
2024/03/01 11:30:12.435,71.4532,0.1989999999999838,3.107094841003418,66.79358039034022,2024-03-01 11:30:12.435,1709292612,0.3007094841003418,-19.71132447683247,86.5049048671727
2024/03/01 11:30:13.434,71.6583,0.2051000000000016,3.107094841003418,66.79358039034022,2024-03-01 11:30:13.434,1709292613,0.3007094841003418,-19.809019204917416,86.60259959525764
2024/03/01 11:30:13.435,71.6583,0.2051000000000016,3.107094841003418,68.84102179929647,2024-03-01 11:30:13.435,1709292613,0.3007094841003418,-19.809019204917416,88.65004100421389
2024/03/01 11:30:13.863,71.6583,0.2051000000000016,3.107094841003418,68.18296459268166,2024-03-01 11:30:13.863,1709292613,0.3007094841003418,-19.809019204917416,87.99198379759908
2024/03/01 11:30:14.434,71.86330000000001,0.2050000000000125,3.107094841003418,68.18296459268166,2024-03-01 11:30:14.434,1709292614,0.3007094841003418,-19.90690148723294,88.0898660799146
2024/03/01 11:30:14.435,71.86330000000001,0.2050000000000125,3.107094841003418,68.14972082642849,2024-03-01 11:30:14.435,1709292614,0.3007094841003418,-19.90690148723294,88.05662231366144
2024/03/01 11:30:15.434,72.0593,0.1959999999999837,3.107094841003418,68.14972082642849,2024-03-01 11:30:15.434,1709292615,0.3007094841003418,-20.000706370680955,88.15042719710945
2024/03/01 11:30:15.436,72.0593,0.1959999999999837,3.107094841003418,65.15778186330762,2024-03-01 11:30:15.436,1709292615,0.3007094841003418,-20.000706370680955,85.15848823398858
2024/03/01 11:30:15.865,72.0593,0.1959999999999837,3.107094841003418,65.99936105862899,2024-03-01 11:30:15.865,1709292615,0.3007094841003418,-20.000706370680955,86.00006742930995
2024/03/01 11:30:16.435,72.25519999999999,0.1958999999999946,3.107094841003418,65.99936105862899,2024-03-01 11:30:16.435,1709292616,0.3007094841003418,-20.094678167308697,86.09403922593769
2024/03/01 11:30:16.436,72.25519999999999,0.1958999999999946,3.107094841003418,65.96568791523539,2024-03-01 11:30:16.436,1709292616,0.3007094841003418,-20.094678167308697,86.06036608254409
2024/03/01 11:30:17.484,72.45920000000001,0.2040000000000219,3.107094841003418,65.96568791523539,2024-03-01 11:30:17.484,1709292617,0.3007094841003418,-20.192763693344986,86.15845160858038
2024/03/01 11:30:18.434,72.6613,0.2040000000000219,3.107094841003418,65.96568791523539,2024-03-01 11:30:18.434,1709292618,0.3007094841003418,-20.290165276145697,86.25585319138109
2024/03/01 11:30:18.435,72.6613,0.2020999999999873,3.107094841003418,65.96568791523539,2024-03-01 11:30:18.435,1709292618,0.3007094841003418,-20.290165276145697,86.25585319138109
2024/03/01 11:30:19.434,72.86130000000001,0.200000000000017,3.107094841003418,65.96568791523539,2024-03-01 11:30:19.434,1709292619,0.3007094841003418,-20.38677974396635,86.35246765920175
2024/03/01 11:30:19.436,72.86130000000001,0.200000000000017,3.107094841003418,67.34651002287572,2024-03-01 11:30:19.436,1709292619,0.3007094841003418,-20.38677974396635,87.73328976684206
2024/03/01 11:30:19.872,72.86130000000001,0.200000000000017,3.107094841003418,67.45984878474934,2024-03-01 11:30:19.872,1709292619,0.3007094841003418,-20.38677974396635,87.84662852871568
2024/03/01 11:30:20.434,73.05420000000001,0.1928999999999945,3.107094841003418,67.45984878474934,2024-03-01 11:30:20.434,1709292620,0.3007094841003418,-20.480176421613567,87.9400252063629
2024/03/01 11:30:20.436,73.05420000000001,0.1928999999999945,3.107094841003418,65.06502415288334,2024-03-01 11:30:20.436,1709292620,0.3007094841003418,-20.480176421613567,85.5452005744969
2024/03/01 11:30:21.433,73.2471,0.1928999999999945,3.107094841003418,65.06502415288334,2024-03-01 11:30:21.433,1709292621,0.3007094841003418,-20.573781291271274,85.63880544415461
2024/03/01 11:30:21.434,73.2471,0.1928999999999945,3.107094841003418,65.06502415288334,2024-03-01 11:30:21.434,1709292621,0.3007094841003418,-20.573781291271274,85.63880544415461
2024/03/01 11:30:21.883,73.2471,0.1928999999999945,3.107094841003418,63.722235097533385,2024-03-01 11:30:21.883,1709292621,0.3007094841003418,-20.573781291271274,84.29601638880466
2024/03/01 11:30:22.433,73.4562,0.1928999999999945,3.107094841003418,63.722235097533385,2024-03-01 11:30:22.433,1709292622,0.3007094841003418,-20.675482375628327,84.39771747316172
2024/03/01 11:30:22.434,73.4562,0.2090999999999923,3.107094841003418,63.722235097533385,2024-03-01 11:30:22.434,1709292622,0.3007094841003418,-20.675482375628327,84.39771747316172
2024/03/01 11:30:22.435,73.4562,0.2090999999999923,3.107094841003418,69.07371362827433,2024-03-01 11:30:22.435,1709292622,0.3007094841003418,-20.675482375628327,89.74919600390265
2024/03/01 11:30:23.463,73.6612,0.2090999999999923,3.107094841003418,69.07371362827433,2024-03-01 11:30:23.463,1709292623,0.3007094841003418,-20.775426801983855,89.84914043025819
2024/03/01 11:30:23.464,73.6612,0.2049999999999983,3.107094841003418,69.07371362827433,2024-03-01 11:30:23.464,1709292623,0.3007094841003418,-20.775426801983855,89.84914043025819
2024/03/01 11:30:23.465,73.6612,0.2049999999999983,3.107094841003418,67.71932708654539,2024-03-01 11:30:23.465,1709292623,0.3007094841003418,-20.775426801983855,88.49475388852925
2024/03/01 11:30:23.885,73.6612,0.2049999999999983,3.107094841003418,69.25225476101573,2024-03-01 11:30:23.885,1709292623,0.3007094841003418,-20.775426801983855,90.02768156299959
2024/03/01 11:30:24.526,73.8329,0.1717000000000013,3.107094841003418,69.25225476101573,2024-03-01 11:30:24.526,1709292624,0.3007094841003418,-20.85931729361957,90.1115720546353
2024/03/01 11:30:24.528,73.8329,0.1717000000000013,3.107094841003418,58.002986060812646,2024-03-01 11:30:24.528,1709292624,0.3007094841003418,-20.85931729361957,78.86230335443221
2024/03/01 11:30:25.434,74.0491,0.1717000000000013,3.107094841003418,58.002986060812646,2024-03-01 11:30:25.434,1709292625,0.3007094841003418,-20.965184542861742,78.9681706036744
2024/03/01 11:30:25.435,74.0491,0.2162000000000006,3.107094841003418,73.0357925821062,2024-03-01 11:30:25.435,1709292625,0.3007094841003418,-20.965184542861742,94.00097712496793
2024/03/01 11:30:25.892,74.0491,0.2162000000000006,3.107094841003418,74.35779003078383,2024-03-01 11:30:25.892,1709292625,0.3007094841003418,-20.965184542861742,95.32297457364558
2024/03/01 11:30:26.434,74.24400000000001,0.1949000000000182,3.107094841003418,74.35779003078383,2024-03-01 11:30:26.434,1709292626,0.3007094841003418,-21.0608459073929,95.41863593817673
2024/03/01 11:30:26.436,74.24400000000001,0.1949000000000182,3.107094841003418,67.03206881129088,2024-03-01 11:30:26.436,1709292626,0.3007094841003418,-21.0608459073929,88.09291471868379
2024/03/01 11:30:27.434,74.4319,0.1878999999999848,3.107094841003418,67.03206881129088,2024-03-01 11:30:27.434,1709292627,0.3007094841003418,-21.153272730984963,88.18534154227585
2024/03/01 11:30:28.434,74.6269,0.1950000000000074,3.107094841003418,67.03206881129088,2024-03-01 11:30:28.434,1709292628,0.3007094841003418,-21.24940087624937,88.28146968754025
2024/03/01 11:30:29.434,74.8309,0.2039999999999935,3.107094841003418,67.03206881129088,2024-03-01 11:30:29.434,1709292629,0.3007094841003418,-21.35019341019601,88.3822622214869
2024/03/01 11:30:29.905,74.8309,0.2039999999999935,3.107094841003418,67.39434030015639,2024-03-01 11:30:29.905,1709292629,0.3007094841003418,-21.35019341019601,88.7445337103524
2024/03/01 11:30:30.463,75.0258,0.194900000000004,3.107094841003418,67.39434030015639,2024-03-01 11:30:30.463,1709292630,0.3007094841003418,-21.446707299699046,88.84104759985543
2024/03/01 11:30:30.464,75.0258,0.194900000000004,3.107094841003418,64.38802413971162,2024-03-01 11:30:30.464,1709292630,0.3007094841003418,-21.446707299699046,85.83473143941066
2024/03/01 11:30:31.525,75.2238,0.194900000000004,3.107094841003418,64.38802413971162,2024-03-01 11:30:31.525,1709292631,0.3007094841003418,-21.544973928840317,85.93299806855194
2024/03/01 11:30:31.526,75.2238,0.1979999999999933,3.107094841003418,64.38802413971162,2024-03-01 11:30:31.526,1709292631,0.3007094841003418,-21.544973928840317,85.93299806855194
2024/03/01 11:30:31.527,75.2238,0.1979999999999933,3.107094841003418,65.41215382073989,2024-03-01 11:30:31.527,1709292631,0.3007094841003418,-21.544973928840317,86.95712774958021
2024/03/01 11:30:31.906,75.2238,0.1979999999999933,3.107094841003418,66.56425704046462,2024-03-01 11:30:31.906,1709292631,0.3007094841003418,-21.544973928840317,88.10923096930495
2024/03/01 11:30:32.434,75.4228,0.198999999999998,3.107094841003418,66.56425704046462,2024-03-01 11:30:32.434,1709292632,0.3007094841003418,-21.643957864733018,88.20821490519765
2024/03/01 11:30:32.435,75.4228,0.198999999999998,3.107094841003418,66.90044015683223,2024-03-01 11:30:32.435,1709292632,0.3007094841003418,-21.643957864733018,88.54439802156526
2024/03/01 11:30:33.434,75.6268,0.2040000000000077,3.107094841003418,66.90044015683223,2024-03-01 11:30:33.434,1709292633,0.3007094841003418,-21.74565882200297,88.6460989788352
2024/03/01 11:30:33.436,75.6268,0.2040000000000077,3.107094841003418,68.58135573866545,2024-03-01 11:30:33.436,1709292633,0.3007094841003418,-21.74565882200297,90.32701456066842
2024/03/01 11:30:33.914,75.6268,0.2040000000000077,3.107094841003418,67.39127215760739,2024-03-01 11:30:33.914,1709292633,0.3007094841003418,-21.74565882200297,89.13693097961036
2024/03/01 11:30:34.434,75.8268,0.2000000000000028,3.107094841003418,67.39127215760739,2024-03-01 11:30:34.434,1709292634,0.3007094841003418,-21.84559168060238,89.23686383820977
2024/03/01 11:30:34.435,75.8268,0.2000000000000028,3.107094841003418,66.06987466431939,2024-03-01 11:30:34.435,1709292634,0.3007094841003418,-21.84559168060238,87.91546634492177
2024/03/01 11:30:35.434,76.0187,0.1918999999999897,3.107094841003418,66.06987466431939,2024-03-01 11:30:35.434,1709292635,0.3007094841003418,-21.941687645886557,88.01156231020595
2024/03/01 11:30:35.435,76.0187,0.1918999999999897,3.107094841003418,63.39404474041017,2024-03-01 11:30:35.435,1709292635,0.3007094841003418,-21.941687645886557,85.33573238629673
2024/03/01 11:30:35.921,76.0187,0.1918999999999897,3.107094841003418,64.412339529824,2024-03-01 11:30:35.921,1709292635,0.3007094841003418,-21.941687645886557,86.35402717571056
2024/03/01 11:30:36.434,76.2117,0.1929999999999978,3.107094841003418,64.412339529824,2024-03-01 11:30:36.434,1709292636,0.3007094841003418,-22.038542261878657,86.45088179170266
2024/03/01 11:30:36.435,76.2117,0.1929999999999978,3.107094841003418,64.78156086115975,2024-03-01 11:30:36.435,1709292636,0.3007094841003418,-22.038542261878657,86.82010312303841
2024/03/01 11:30:37.464,76.4026,0.1909000000000134,3.107094841003418,64.78156086115975,2024-03-01 11:30:37.464,1709292637,0.3007094841003418,-22.134548038136618,86.91610889929636
2024/03/01 11:30:38.524,76.5975,0.1909000000000134,3.107094841003418,64.78156086115975,2024-03-01 11:30:38.524,1709292638,0.3007094841003418,-22.232775810344044,87.0143366715038
2024/03/01 11:30:38.525,76.5975,0.1948999999999898,3.107094841003418,64.78156086115975,2024-03-01 11:30:38.525,1709292638,0.3007094841003418,-22.232775810344044,87.0143366715038
2024/03/01 11:30:39.434,76.8066,0.1948999999999898,3.107094841003418,64.78156086115975,2024-03-01 11:30:39.434,1709292639,0.3007094841003418,-22.338396571846385,87.11995743300614
2024/03/01 11:30:39.435,76.8066,0.2091000000000065,3.107094841003418,64.78156086115975,2024-03-01 11:30:39.435,1709292639,0.3007094841003418,-22.338396571846385,87.11995743300614
2024/03/01 11:30:39.929,76.8066,0.2091000000000065,3.107094841003418,69.62615836713493,2024-03-01 11:30:39.929,1709292639,0.3007094841003418,-22.338396571846385,91.96455493898132
2024/03/01 11:30:40.433,77.0076,0.2091000000000065,3.107094841003418,69.62615836713493,2024-03-01 11:30:40.433,1709292640,0.3007094841003418,-22.440156452728797,92.06631481986373
2024/03/01 11:30:40.434,77.0076,0.2009999999999934,3.107094841003418,69.62615836713493,2024-03-01 11:30:40.434,1709292640,0.3007094841003418,-22.440156452728797,92.06631481986373
2024/03/01 11:30:40.435,77.0076,0.2009999999999934,3.107094841003418,66.92901880341094,2024-03-01 11:30:40.435,1709292640,0.3007094841003418,-22.440156452728797,89.36917525613974
2024/03/01 11:30:41.434,77.2045,0.1968999999999994,3.107094841003418,66.92901880341094,2024-03-01 11:30:41.434,1709292641,0.3007094841003418,-22.540059808664367,89.46907861207531
2024/03/01 11:30:41.436,77.2045,0.1968999999999994,3.107094841003418,65.56380001190053,2024-03-01 11:30:41.436,1709292641,0.3007094841003418,-22.540059808664367,88.10385982056489
